jerebko,5544
anthony),5513
kidd,5510
baynes,5465
wade),5464
bounds),5453
out,5450
(step,5450
noel,5413
waiters,5413
thomas),5402
ayton,5373
bell,5355
carter-williams,5350
casspi,5348
fisher,5336
battier,5336
cauley-stein,5271
blake,5258
conley),5251
brogdon,5199
lopez),5167
kidd-gilchrist,5155
ridnour,5138
nance,5112
camby,5109
wall),5108
mason,5106
šarić,5069
shumpert,5056
lillard),5055
murphy,5052
cook,5038
levert,5036
morrow,5031
derozan),5027
antetokounmpo),5015
mozgov,5011
clark,5001
mclemore,4980
hernangómez,4949
walker),4942
maxiell,4941
iguodala),4939
hood,4919
poeltl,4896
arthur,4872
mcdermott,4853
haywood,4839
gooden,4837
zubac,4832
maggette,4825
vanvleet,4811
burke,4752
finney-smith,4743
scott,4724
henson,4721
carter),4711
morris),4686
house,4683
markkanen,4666
price,4653
kirilenko,4638
griffin),4598
hansbrough,4591
mirotić,4563
meeks,4560
(def,4549
mcconnell,4531
gilgeous-alexander,4530
lee),4514
roy,4513
splitter,4501
evans),4501
teague),4500
holmes,4498
rush,4483
forbes,4477
bjelica,4476
warren,4440
outlaw,4437
ennis,4432
millsap),4415
bonner,4412
blair,4386
o'neale,4382
barnes),4372
lyles,4368
collison),4365
martin),4316
snell,4309
farmar,4302
webster,4289
bryant),4268
rubio),4259
ilgauskas,4238
morant,4224
george),4221
jefferson),4209
hart,4189
looney,4182
(j.,4164
vásquez,4159
west),4153
okur,4148
warrick,4127
horford),4124
sexton,4123
sullinger,4115
aldridge),4090
o'quinn,4052
anunoby,4042
biedriņš,4031
connaughton,4030
galloway,4029
peković,4022
dragić),4016
wallace),3982
ellis),3980
kaminsky,3972
winslow,3953
chicago,3909
turner),3903
mcroberts,3890
gomes,3884
dellavedova,3881
huerter,3872
mcdaniels,3863
boston,3839
(d.,3839
payne,3828
hollis-jefferson,3827
mohammed,3822
dallas,3803
irving),3802
mcdyess,3801
kleber,3794
miami,3786
leonard),3779
sec),3774
osman,3762
crawford),3759
cousins),3758
anderson),3747
jokić),3736
bledsoe),3735
neal,3733
brunson,3730
memphis,3728
minnesota,3728
philadelphia,3719
booker),3712
garcía,3708
bullock,3682
delfino,3682
wood,3680
crabbe,3674
atlanta,3670
barrett,3670
ginóbili),3666
bibby,3638
indiana,3638
mack,3616
edwards,3591
chandler),3584
cleveland,3579
cole,3575
mudiay,3568
robinson),3568
séraphin,3558
orlando,3551
gee,3550
portland,3548
(3,3547
douglas,3535
hunter,3530
nowitzki),3519
rose),3514
replay,3513
instant,3513
clippers,3490
diallo,3483
muscala,3475
wright),3471
felton),3465
murray),3464
san,3462
state,3462
golden,3462
antonio,3462
bertāns,3452
turiaf,3445
toronto,3433
milwaukee,3430
stands),3416
houston,3413
city,3391
oklahoma,3391
satoranský,3389
charlotte,3373
duncan),3372
gay),3362
hollins,3361
harrison,3356
batum),3351
lakers,3349
detroit,3344
sacramento,3340
nocioni,3331
york,3331
phoenix,3327
pierce),3324
sec,3315
wagner,3314
x.,3304
tech,3302
orleans,3293
augustin),3286
love),3281
denver,3270
richardson),3261
wilcox,3230
budinger,3229
kleiza,3228
miličić,3227
piétrus,3221
brewer),3221
theis,3220
amundson,3209
simmons),3209
def,3192
ming,3189
watson),3173
chriss,3167
beal),3151
vujačić,3138
mann,3124
brooks),3117
randolph),3115
calderón),3100
utah,3091
hayward),3090
monk,3075
jianlian,3073
bogans,3069
poole,3060
nash),3049
garland,3048
stojaković,3037
taylor,3025
herro,3019
ariza),3011
jordan),2997
leuer,2992
telfair,2989
dampier,2974
singler,2963
neto,2945
craig,2940
kennard,2940
teletović,2939
iverson,2928
roberson,2927
nelson),2912
przybilla,2901
jack),2898
sessions),2889
gobert),2884
wilkins,2874
lawson),2870
hezonja,2864
smart),2863
flagrant,2857
foster,2840
plumlee),2835
gibson),2834
duhon,2828
jeffries,2805
vonleh,2797
chalmers),2794
ruling,2793
middleton),2778
boucher,2777
melton,2776
ford,2770
dooling,2760
mcgrady,2748
stevenson,2739
bamba,2737
schröder),2733
drummond),2718
shamet,2714
kidd),2706
jennings),2705
trent,2701
bagley,2687
mobley,2672
noah),2672
sanders,2665
bosh),2662
gallinari),2649
napier,2647
dončić),2645
embiid),2643
posey,2642
stuckey),2633
hilário),2620
stauskas,2618
krstić,2608
udoh,2607
game),2604
(delay,2604
moon,2591
barea),2590
dunn,2578
30,2574
matthews),2570
bembry,2567
vučević),2565
prince),2561
acy,2553
radmanović,2551
niang,2550
payton),2538
bogdanović),2536
towns),2527
(t.,2524
powell),2521
fernández,2511
petro,2510
clarke,2501
randle),2489
divincenzo,2475
wiggins),2459
grant),2456
deng),2455
alston,2455
motiejūnas,2452
walton,2439
simons,2427
brooklyn,2419
diaw),2400
luwawu-cabarrot,2368
pondexter,2363
ibaka),2348
muhammad,2345
pargo,2336
mitchell),2335
redd,2334
babbitt,2329
bazley,2328
hachimura,2327
birch,2315
(m.,2300
bey,2300
gray,2289
(r.,2288
fields,2288
korkmaz,2288
oladipo),2279
valentine,2279
flynn,2273
knight),2271
marjanović,2268
redick),2267
mccollum),2264
dort,2248
billups),2242
frazier,2239
caruso,2239
(request:,2235
porter),2233
goodwin,2225
russell),2218
stoudemire),2215
williamson,2212
hibbert),2212
(k.,2204
bane,2197
ajinça,2192
haliburton,2188
novak,2187
monroe),2181
joseph),2178
reid,2178
singleton,2177
garnett),2174
finley,2173
marshall,2168
lin),2160
maxey,2153
valančiūnas),2152
okogie,2147
white),2144
azubuike,2143
bynum),2139
adams),2135
hughes,2128
terry),2109
exum,2102
fox),2101
collins),2092
roberts,2080
stewart,2079
ferrell,2067
mcgruder,2063
reed,2056
mcguire,2049
rodríguez,2048
favors),2043
songaila,2042
knox,2041
(c.,2039
beverley),2038
tatum),2034
milton,2033
nicholson,2029
hinrich),2027
overtime,2025
ntilikina,2022
gafford,2021
sampson,2017
nwaba,2017
o'neal),1985
bogut),1977
gortat),1967
ingles),1961
hayes),1960
scola),1959
daye,1958
fournier),1957
tate,1953
canaan,1950
mullens,1949
zeller),1946
pavlović,1945
maker,1943
lavine),1940
wroten,1933
korver),1930
aldrich,1929
powe,1927
udrih),1924
tucker),1921
carter-williams),1921
pachulia),1912
blake),1900
mills),1897
larkin,1889
boone,1878
arenas,1872
avdija,1870
türkoğlu),1870
black,1869
vanderbilt,1860
barton),1852
ivey,1847
adebayo),1846
livingston),1840
bender,1833
sabonis),1832
