bell,5497
kidd,5488
parsons,5468
miller),5436
billups,5418
casspi,5415
fisher,5405
tolliver,5403
wade),5378
dedmon,5342
conley),5338
waiters,5305
thomas),5279
anthony),5271
hood,5269
camby,5262
mclemore,5247
carter-williams,5230
ayton,5229
kidd-gilchrist,5220
mason,5190
aşık,5168
murphy,5162
ridnour,5152
poeltl,5108
cook,5088
šarić,5052
brogdon,5034
blake,4994
derozan),4985
lopez),4984
shumpert,4974
maggette,4960
arthur,4960
morrow,4956
clark,4954
andersen,4950
antetokounmpo),4926
baynes,4904
henson,4901
wall),4896
vanvleet,4865
scott,4864
mozgov,4826
lillard),4796
meeks,4793
ennis,4790
cauley-stein,4761
maxiell,4756
burke,4741
battier,4721
mcdermott,4719
holmes,4714
markkanen,4713
rush,4672
mcconnell,4647
zubac,4638
warren,4622
kirilenko,4622
forbes,4618
blair,4609
levert,4601
nance,4577
morris),4573
iguodala),4567
lee),4564
(def,4551
house,4534
gilgeous-alexander,4525
mirotić,4522
price,4490
roy,4472
walker),4470
outlaw,4465
finney-smith,4461
carter),4453
hansbrough,4439
splitter,4437
bonner,4434
martin),4391
webster,4365
bjelica,4364
lyles,4357
snell,4310
collison),4304
evans),4298
george),4289
haywood,4284
vásquez,4278
ilgauskas,4269
winslow,4223
teague),4210
farmar,4190
millsap),4189
hart,4176
bryant),4172
morant,4171
barnes),4171
o'neale,4170
(j.,4164
okur,4153
boston,4151
dallas,4133
mcdaniels,4082
bibby,4079
griffin),4071
kaminsky,4068
west),4036
jefferson),4025
aldridge),4018
miami,4012
neal,4002
rubio),3996
o'quinn,3990
mack,3985
looney,3969
sullinger,3966
dragić),3964
philadelphia,3957
warrick,3942
biedriņš,3940
edwards,3915
brunson,3901
wallace),3896
anunoby,3890
connaughton,3854
memphis,3843
sexton,3843
barrett,3842
antonio,3840
san,3840
(d.,3839
peković,3837
turner),3825
muscala,3822
payne,3818
mohammed,3814
indiana,3796
galloway,3788
horford),3768
crawford),3767
chicago,3766
garcía,3765
portland,3762
mcdyess,3753
gomes,3748
dellavedova,3748
booker),3739
diallo,3731
anderson),3722
huerter,3713
sec,3711
atlanta,3692
crabbe,3674
robinson),3667
cleveland,3660
tech,3656
wright),3656
city,3655
oklahoma,3655
toronto,3654
bertāns,3652
bledsoe),3643
ellis),3641
sec),3636
delfino,3634
chandler),3631
cousins),3627
kleber,3625
osman,3617
orlando,3615
irving),3610
mcroberts,3605
denver,3603
clippers,3599
golden,3582
state,3582
def,3577
detroit,3573
minnesota,3569
hollis-jefferson,3561
mcgrady,3554
leonard),3549
murray),3548
gee,3546
bullock,3543
jokić),3540
charlotte,3538
milwaukee,3537
theis,3528
séraphin,3514
cole,3506
budinger,3495
hunter,3480
lakers,3479
sacramento,3464
monk,3460
york,3451
ginóbili),3422
pierce),3409
rose),3407
mudiay,3394
wood,3391
(3,3389
phoenix,3361
felton),3349
nowitzki),3347
hollins,3326
x.,3324
orleans,3324
gay),3312
jordan),3302
piétrus,3294
hayward),3290
richardson),3282
duncan),3263
houston,3257
wagner,3252
craig,3251
amundson,3242
simmons),3240
kleiza,3239
douglas,3232
replay,3228
watson),3228
instant,3228
turiaf,3218
telfair,3218
vonleh,3215
beal),3206
satoranský,3186
wilcox,3181
love),3174
batum),3165
utah,3160
garland,3155
augustin),3147
taylor,3147
stands),3145
nocioni,3138
harrison,3136
brewer),3122
randolph),3121
herro,3083
chriss,3079
kennard,3048
nash),3036
brooks),3029
calderón),2995
ming,2990
vujačić,2960
jeffries,2955
poole,2951
przybilla,2937
leuer,2927
iverson,2925
stevenson,2912
dooling,2911
neto,2909
napier,2891
lawson),2885
gobert),2879
radmanović,2877
gibson),2877
dampier,2873
30,2858
wilkins,2856
stojaković,2847
petro,2836
bogans,2830
teletović,2823
singler,2822
mann,2820
ariza),2817
alston,2806
jack),2803
hezonja,2801
melton,2792
drummond),2790
posey,2784
mobley,2784
miličić,2784
jianlian,2776
plumlee),2770
nelson),2762
shamet,2741
smart),2738
ford,2723
krstić,2721
duhon,2719
chalmers),2715
dunn,2712
bosh),2698
middleton),2689
noah),2683
schröder),2674
boucher,2657
sanders,2654
bagley,2644
stauskas,2643
roberson,2633
flagrant,2631
bembry,2603
jennings),2602
foster,2590
acy,2588
barea),2574
ruling,2568
bogdanović),2564
kidd),2563
hilário),2563
luwawu-cabarrot,2563
trent,2558
udoh,2546
clarke,2541
sessions),2541
divincenzo,2538
ajinça,2537
wiggins),2531
powell),2525
(t.,2524
gallinari),2521
vučević),2520
walton,2506
bazley,2495
pargo,2490
matthews),2490
randle),2484
towns),2484
marshall,2480
game),2477
(delay,2477
bamba,2467
ibaka),2466
redd,2465
prince),2457
simons,2449
moon,2449
gray,2431
mcguire,2426
motiejūnas,2422
stuckey),2413
brooklyn,2413
niang,2410
fernández,2400
bane,2384
grant),2383
flynn,2374
